ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
347,Connecticut Ave & McKinley St NW,31315,38.964544,-77.075135,3,16
348,15th & L St NW,31276,38.90366,-77.034846,16,3
349,17th & G St NW,31277,38.8983,-77.039732,25,4
350,Spring St & 2nd Ave,32050,38.997653,-77.034499,0,15
351,18th & R St NW,31278,38.912648,-77.041834,4,14
352,Joyce St & 16th St S,31091,38.859254,-77.063275,3,10
353,Union Market,31517,38.907908,-76.99707,14,8
354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,5,10
355,21st St & N Pierce St,31093,38.898984,-77.078317,1,14
356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,2,13
357,19th & G St NW,31279,38.898412,-77.043182,14,8
358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,5,13
359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,5,10
364,Army Navy Dr & S Nash St,31095,38.86215,-77.068121,0,11
365,31st & Water St NW,31293,38.902814,-77.061043,0,19
367,11th & S St NW,31280,38.913761,-77.027025,12,11
368,Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,7,8
369,2nd & G St NE,31639,38.89967,-77.003666,8,14
370,8th & O St NW,31281,38.90864,-77.02277,2,16
371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,4,15
373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,10,8
374,Maryland Ave & E St NE,31640,38.896134,-76.9929,12,7
375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,10,11
376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,3,16
377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,5,10
378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,6,9
379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,3,16
380,Saint Asaph St & Madison St,31097,38.812718,-77.044097,8,5
381,King St Metro North / Cameron St,31098,38.80704,-77.059817,8,7
382,Madison St & N Henry St,31099,38.813485,-77.049468,6,9
383,Medical Center Metro,32053,38.999378,-77.097882,3,15
384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,4,7
385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,3,16
386,16th & Irving St NW,31122,38.928893,-77.03625,8,11
387,16th & R St NW,31282,38.912652,-77.036278,9,9
388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,2,13
389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,4,7
390,14th & L St NW,31283,38.903658,-77.031737,3,16
391,1st & O St NW,31519,38.908643,-77.012365,9,6
392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,7,11
393,18th & C St NW,31284,38.893511,-77.041544,12,6
394,22nd & P ST NW,31285,38.909394,-77.048728,12,7
395,East West Hwy & 16th St,32056,38.995681,-77.038721,2,17
396,Royal St & Wilkes St,31903,38.799267,-77.0447,11,4
397,14th & Girard St NW,31123,38.925284,-77.032375,6,17
398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,5,14
399,11th & O St NW,31286,38.90843,-77.02714,16,3
400,10th St & L'Enfant Plaza SW,31287,38.884323,-77.02601,4,19
401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,8,11
402,2nd St & Massachusetts Ave NE,31641,38.894972,-77.003135,7,16
403,Radford St & Osage St,31908,38.828437,-77.086031,0,23
404,East Falls Church Metro / Sycamore St & 19th St N,31904,38.885321,-77.156427,12,5
405,Kennebec St & 11th St N,31905,38.880992,-77.135271,6,9
406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,9,9
407,Commonwealth Ave & E Monroe Ave,31913,38.820058,-77.062821,4,11
408,4th St & Madison Dr NW,31288,38.890493,-77.017253,8,22
409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,1,17
410,17th St & Independence Ave SW,31290,38.888097,-77.038325,9,9
411,Franklin St & S Washington St,31907,38.798133,-77.0487,14,5
412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,5,10
413,4th St & K St NW,31642,38.902406,-77.016006,14,9
414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,13,2
415,Lee Center,31914,38.797557,-77.053766,15,0
416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,10,5
417,Potomac Ave & Swann Ave,31916,38.829545,-77.047844,4,15
418,14th & Irving St NW,31124,38.928552,-77.032224,5,26
419,Vermont Ave & I St NW,31291,38.901136,-77.034451,9,16
420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,1,24
421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,16,3
422,Division Ave & Foote St NE,31713,38.897407,-76.925907,10,5
423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,17,6
424,Spring Hill Metro,32200,38.929261,-77.240654,10,5
425,Westpark Dr & Leesburg Pike,32201,38.92403,-77.235955,2,9
427,Tysons One Pl & Chain Bridge Rd,32203,38.919475,-77.221179,4,6
428,Tysons Corner Station,32204,38.920939,-77.222115,3,8
429,Westpark & Jones Branch Dr,32205,38.924437,-77.217664,4,6
430,Jones Branch & Westbranch Dr,32206,38.931911,-77.219261,2,11
431,Westpark & Park Run Dr,32207,38.928919,-77.225394,9,2
432,Tysons West Transit Center,32208,38.932636,-77.231825,11,0
433,North Shore & Cameron Crescent Dr/Crescent Apartments,32209,38.970046,-77.338686,3,7
434,Town Center Pkwy & Bowman Towne Dr,32210,38.962524,-77.361902,5,10
435,Reston Regional Library,32211,38.962095,-77.358815,6,9
436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,9,6
437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,4,11
438,Reston Town Center Transit Station,32214,38.957037,-77.359718,10,7
439,1st & D St SE,31643,38.884916,-77.005965,10,9
440,Wiehle Ave & Reston Station Blvd,32215,38.946608,-77.339391,7,11
441,Library St & Freedom Dr,32216,38.959633,-77.358741,4,11
442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,7,8
443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,11,12
444,61st St & Banks Pl NE,31714,38.891805,-76.913563,4,15
445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,3,12
446,Reston YMCA,32219,38.955314,-77.368416,3,12
447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.340377,10,1
448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,11,4
449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,11,4
450,Greensboro & International Dr,32221,38.923083,-77.227417,6,4
451,Madison St & Fairfax St,31918,38.812351,-77.040691,11,3
452,Sligo Ave & Carroll Ln,32058,38.990874,-77.016311,6,9
453,15th & W St NW,31125,38.919086,-77.034502,9,10
454,12th St & Pennsylvania Ave SE,31644,38.882489,-76.990121,15,4
455,3rd St & Riggs Rd NE,31412,38.957463,-77.002239,4,11
456,Carlin Springs Rd & N Thomas St,31919,38.876695,-77.112982,6,9
457,Towers Crescent Dr & Tysons One Pl,32222,38.915246,-77.220157,5,6
458,6th & K St NE,31645,38.902932,-76.998405,10,9
459,Pooks Hill Rd & Linden Ave,32057,39.014716,-77.107143,5,10
460,Takoma Park Rec Center,32059,38.98265,-76.988311,9,5
461,New Hampshire & Kirklynn Ave,32061,38.988101,-76.988422,9,5
462,Wheaton Metro / Georgia Ave & Reedie Dr,32062,39.038341,-77.051023,4,7
463,Amherst Ave & Elkins St,32063,39.044887,-77.047788,6,9
464,Amherst Ave & Prichard Rd,32064,39.035965,-77.048395,3,12
465,Grandview & Blueridge Ave,32065,39.043272,-77.053085,3,12
466,Windham Ln & Amherst Ave,32066,39.032029,-77.04735,10,5
467,North Shore Dr & Village Rd,32223,38.970412,-77.340787,8,1
468,Town Center Pkwy & Sunset Hills Rd,32224,38.955171,-77.363094,1,10
469,3rd & Underwood St NW,31413,38.968834,-77.016258,8,11
470,18th & Monroe St NE,31521,38.93293,-76.979517,17,1
471,7th & E St SW,31294,38.88345,-77.021741,6,13
472,Shady Grove Metro East,32067,39.121327,-77.164969,4,15
473,Potomac & M St NW,31295,38.905368,-77.065149,2,17
474,Columbia & Ontario Rd NW,31296,38.924088,-77.040787,13,10
475,Washington-Liberty High School / N Stafford St & Generals Way,31920,38.888282,-77.111066,5,10
476,Westover Library / Washington Blvd & N McKinley Rd,31921,38.886048,-77.142317,11,4
477,Columbia Pike & S Taylor St,31923,38.858524,-77.103728,3,12
478,Columbus Ave & Tribeca St,32068,39.126,-77.1673,2,9
479,Columbus Ave & Gramercy Blvd,32069,39.12333,-77.16486,6,5
480,Reston Pkwy & Spectrum Dr,32225,38.964208,-77.35428,4,11
481,Key West Ave & Great Seneca Hwy,32070,39.105642,-77.20386,3,7
482,Virginia Ave & 25th St NW,31297,38.8995,-77.054155,15,3
483,15th & M St NW,31298,38.905424,-77.034674,12,7
484,11th & Girard St NW,31126,38.925636,-77.027112,18,1
485,Connecticut Ave & R St NW,31299,38.912644,-77.04564,9,10
486,Wilson Blvd & N Troy St,31924,38.892556,-77.082089,6,9
487,American University East Campus,31320,38.936298,-77.087128,0,19
488,15th St & Constitution Ave NW,31321,38.892244,-77.033234,7,12
490,23rd & M St NW,31128,38.905303,-77.050264,19,0
491,Corporate Blvd & Omega Dr,32071,39.106971,-77.192645,3,12
492,Key West Ave & Diamondback Dr,32072,39.106152,-77.202354,6,3
493,Alabama Ave & Stanton Rd SE / Shops at Park Village,31813,38.84627,-76.98185,3,16
494,Mississippi Ave & 19th St SE / THEARC,31814,38.84377,-76.97557,14,5
495,19th & Savannah St SE,31815,38.84623,-76.97703,1,10
496,4th St & Mississippi Ave SE,31816,38.836,-77.0009,14,5
497,1st & S Capitol St SE / Oxon Run Trail,31817,38.824481,-77.005497,15,3
498,Livingston Rd & 3rd St SE,31818,38.82373,-77.00223,10,5
499,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,31819,38.81909,-77.01033,5,13
500,37th & Ely Pl SE,31715,38.883011,-76.949709,5,10
501,15th St & Pennsylvania Ave NW,31129,38.896465,-77.033381,17,2
505,Maine Ave & 9th St SW,31646,38.88044,-77.025236,12,3
506,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31523,38.915,-77.0078,5,14
507,Blueridge Ave & Elkin St,32073,39.04313,-77.05006,4,11
508,Georgia Ave & Kennedy St NW,31415,38.95674,-77.02791,3,14
